"Sample_ID","NAT_LOC","Sample_type","WaterYear","Site_name","River","Watershed","Lat_dd","Long_dd","Source","Sr8786","SD"
"CWT16660","MEH","otolith_cwt",2004,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.708519318,NA
"CWT17001","CNH","otolith_cwt",2017,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"This study",0.705712819772114,NA
"CWT17002","CNH","otolith_cwt",2017,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"This study",0.705756654818761,NA
"CWT17003","CNH","otolith_cwt",2017,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"This study",0.706094317441349,NA
"CWT17005","FEH","otolith_cwt",2017,"Feather River Hatchery","Feather River","Feather River",39.517296,-121.55289,"This study",0.706665680292489,NA
"CWT17008","NIH","otolith_cwt",2017,"Nimbus Hatchery","American River","American River",38.635337,-121.226091,"This study",0.709827792168132,NA
"CWT17009","NIH","otolith_cwt",2017,"Nimbus Hatchery","American River","American River",38.635337,-121.226091,"This study",0.709794065309226,NA
"CWT17010","MOH","otolith_cwt",2017,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.707906133485734,NA
"CWT17049","MOH","otolith_cwt",2001,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.707312147,NA
"CWT17201","MOH","otolith_cwt",2001,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.707577214,NA
"CWT17250","MEH","otolith_cwt",2003,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.7087533635,NA
"CWT17282","MEH","otolith_cwt",2003,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.7086140875,NA
"CWT17293","MEH","otolith_cwt",2003,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.708797452,NA
"CWT17614","MEH","otolith_cwt",2003,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.7086866065,NA
"CWT17620","MEH","otolith_cwt",2003,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.7086857375,NA
"CWT17626","MEH","otolith_cwt",2003,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.7089593715,NA
"CWT18004","MEH","otolith_cwt",2018,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.708591635366469,NA
"CWT18006","MOH","otolith_cwt",2018,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.707306419289845,NA
"CWT18008","CNH","otolith_cwt",2018,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"This study",0.705735446913629,NA
"CWT18009","CNH","otolith_cwt",2018,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"This study",0.705979031816801,NA
"CWT18010","FEH","otolith_cwt",2018,"Feather River Hatchery","Feather River","Feather River",39.517296,-121.55289,"This study",0.707084544782019,NA
"CWT18011","FEH","otolith_cwt",2018,"Feather River Hatchery","Feather River","Feather River",39.517296,-121.55289,"This study",0.70711827717331,NA
"CWT18012","FEH","otolith_cwt",2018,"Feather River Hatchery","Feather River","Feather River",39.517296,-121.55289,"This study",0.707063289433468,NA
"CWT18013","CNH","otolith_cwt",2018,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"This study",0.705263410064525,NA
"CWT18014","NIH","otolith_cwt",2018,"Nimbus Hatchery","American River","American River",38.635337,-121.226091,"This study",0.709584641092638,NA
"CWT18015","NIH","otolith_cwt",2018,"Nimbus Hatchery","American River","American River",38.635337,-121.226091,"This study",0.709846107968881,NA
"CWT18016","NIH","otolith_cwt",2018,"Nimbus Hatchery","American River","American River",38.635337,-121.226091,"This study",0.709793619243306,NA
"CWT18017","NIH","otolith_cwt",2018,"Nimbus Hatchery","American River","American River",38.635337,-121.226091,"This study",0.709578216133846,NA
"CWT18018","FEH","otolith_cwt",2018,"Feather River Hatchery","Feather River","Feather River",39.517296,-121.55289,"This study",0.707184094677387,NA
"CWT18127","MEH","otolith_cwt",2004,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.7087746555,NA
"CWT19180","MEH","otolith_cwt",2006,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.70886081,NA
"CWT19181","MOH","otolith_cwt",2007,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.7074599755,NA
"CWT19233","MEH","otolith_cwt",2006,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.709008987,NA
"CWT19259","MEH","otolith_cwt",2006,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.7088423545,NA
"CWT19294","MEH","otolith_cwt",2006,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.7088348805,NA
"CWT19310","MEH","otolith_cwt",2006,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.708884063,NA
"CWT19478","MOH","otolith_cwt",2007,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.707276244,NA
"CWT19507","MOH","otolith_cwt",2007,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.7074460775,NA
"CWT19524","MOH","otolith_cwt",2007,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.707414128,NA
"CWT19531","MOH","otolith_cwt",2007,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.707303929,NA
"CWT19539","MOH","otolith_cwt",2007,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.7075656675,NA
"CWT19541","MOH","otolith_cwt",2007,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.7072813525,NA
"CWT19543","MOH","otolith_cwt",2007,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.707139882,NA
"CWT19811","MEH","otolith_cwt",1999,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.7089813335,NA
"CWT20044","MOH","otolith_cwt",1999,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.7075063995,NA
"CWT20206","CNH","otolith_cwt",2009,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"This study",0.7062984175,NA
"CWT20212","MEH","otolith_cwt",2009,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.708744691,NA
"CWT20223","MEH","otolith_cwt",2009,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.708757945,NA
"CWT20232","MEH","otolith_cwt",2009,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.7087196435,NA
"CWT20244","MEH","otolith_cwt",2009,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.708766973,NA
"CWT20331","CNH","otolith_cwt",2009,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"This study",0.706554637,NA
"CWT20333","MOH","otolith_cwt",2009,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.707323736,NA
"CWT20356","CNH","otolith_cwt",2009,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"This study",0.706023441,NA
"CWT20401","MOH","otolith_cwt",2008,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.707369183,NA
